#name        zcmb     zhel     dz       mb        dmb      s        ds       color     dcolor   cov_m_s      cov_m_c      cov_s_c      set
sn1992bo     0.01774  0.01851  0.00024  34.720	  0.16	   1.0	    0	     0	       0	0	     0		  0	       1
sn1992bc     0.01980  0.02020  0.00000  34.870	  0.11	   1.0	    0	     0	       0	0	     0		  0	       1
sn1992aq     0.1018   0.100915 0.00000	38.410	  0.15	   1.0	    0	     0	       0	0	     0		  0	       1
sn1992ae     0.07461  0.07500  0.00003  37.80	  0.17	   1.0	    0	     0	       0	0	     0		  0	       1
sn1992p      0.02649  0.02540  0.00003  35.76	  0.13	   1.0	    0	     0	       0	0	     0		  0	       1
sn1990af     0.0503   0.04992  0.00000	36.53	  0.15	   1.0	    0	     0	       0	0	     0		  0	       1
sn1994m      0.02431  0.02316  0.00043  35.39	  0.18	   1.0	    0	     0	       0	0	     0		  0	       1
sn1994s      0.01517  0.01518  0.00002  34.27	  0.12	   1.0	    0	     0	       0	0	     0		  0	       1
sn1994t	     0.034598 0.03564  0.00018	36.19	  0.21	   1.0	    0	     0	       0	0	     0		  0	       1
sn1995d	     0.006558 0.00767  0.00002	33.01	  0.13	   1.0	    0	     0	       0	0	     0		  0	       1
sn1995e	     0.011575 0.011661 0.00006	33.60	  0.17	   1.0	    0	     0	       0	0	     0		  0	       1
sn1995ac     0.049902 0.048719 0.00018	36.85	  0.13	   1.0	    0	     0	       0	0	     0		  0	       1
sn1995ak     0.022719 0.021980 0.00007	35.15	  0.16	   1.0	    0	     0	       0	0	     0		  0	       1
sn1995bd     0.0146   0.014431 0.00083	34.15	  0.19	   1.0	    0	     0	       0	0	     0		  0	       1
sn1996c	     0.02959  0.030091 0.00000	35.98	  0.20	   1.0	    0	     0	       0	0	     0		  0	       1
sn1996ab     0.124    0.1244   0.00000	39.01	  0.13	   1.0	    0	     0	       0	0	     0		  0	       1
sn1992ag     0.025    0.026    0.002	35.37	  0.23	   1.0	    0	     0	       0	0	     0		  0	       1
sn1992al     0.014615 0.013501 0.00003	33.92	  0.11	   1.0	    0	     0	       0	0	     0		  0	       1
sn1992bg     0.0352   0.03548  0.00000	36.26	  0.21	   1.0	    0	     0	       0	0	     0		  0	       1
sn1992bh     0.045    0.045295 0.00000	36.91	  0.17	   1.0	    0	     0	       0	0	     0		  0	       1
sn1992bl     0.0437   0.042933 0.00000	36.26	  0.15	   1.0	    0	     0	       0	0	     0		  0	       1
sn1992bp     0.0793   0.078877 0.00000	37.65	  0.13	   1.0	    0	     0	       0	0	     0		  0	       1
sn1992br     0.0882   0.087789 0.00000	38.21	  0.19	   1.0	    0	     0	       0	0	     0		  0	       1
sn1992bs     0.0637   0.063368 0.00000	37.61	  0.14	   1.0	    0	     0	       0	0	     0		  0	       1
sn1993h	     0.024207 0.025090 0.00004	35.20	  0.26	   1.0	    0	     0	       0	0	     0		  0	       1
sn1993o	     0.051    0.051926 0.0	37.03	  0.14	   1.0	    0	     0	       0	0	     0		  0	       1
sn1993ag     0.049    0.050043 0.0	36.80	  0.17	   1.0	    0	     0	       0	0	     0		  0	       1
sn1996e	     0.43     0.43     0.0	41.74	  0.28	   1.0	    0	     0	       0	0	     0		  0	       1
sn1996h	     0.62     0.62     0.0	42.98	  0.17	   1.0	    0	     0	       0	0	     0		  0	       1
sn1996i	     0.57     0.57     0.0	42.76	  0.19	   1.0	    0	     0	       0	0	     0		  0	       1
sn1996j	     0.30     0.30     0.0	41.38	  0.24	   1.0	    0	     0	       0	0	     0		  0	       1
sn1996k	     0.38     0.38     0.0	41.63	  0.20	   1.0	    0	     0	       0	0	     0		  0	       1
sn1996u	     0.43     0.43     0.0	42.55	  0.25	   1.0	    0	     0	       0	0	     0		  0	       1
sn1997ce     0.44     0.44     0.0	41.95	  0.17	   1.0	    0	     0	       0	0	     0		  0	       1
sn1997cj     0.50     0.50     0.0	42.40	  0.17	   1.0	    0	     0	       0	0	     0		  0	       1
sn1997ck     0.97     0.97     0.0	44.39	  0.30	   1.0	    0	     0	       0	0	     0		  0	       1
sn1995k	     0.48     0.48     0.0	42.45	  0.17	   1.0	    0	     0	       0	0	     0		  0	       1
